# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2021-12-14 21:38:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 3255520752 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = %%NAME%%3 %%VERSION%%
# stancflags =
lp__,accept_stat__,theta
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
0,0,0.618151
